AURIX TC26x B-Step, 2.5MB FLASH, 2 cores, HSM: no, EMEM: yes, CPU speed: 200.000000MHz
CoreId,CoreArch,PCache[KB],DCache[KB],PSPR[KB],DSPR[KB],LADDR
CPU1	1.6P	16	8	32	120	6
C_MODE,DCACHE,PCACHE,DSECS,DSEC,VECMATH,WORDS,EXEC,CLK,VAR_CLK[ticks],IST,VAR_IST,MCNT1,VAR_MCNT1,MCNT2,VAR_MCNT2,MCNT3,VAR_MCNT3
0,0,0,af000000,DFlash,VecWrite,512,30,4226.00,  0.00,3614.00,  0.00,  6.00,  0.00,1033.00,  0.00,  0.00,  0.00
0,0,0,af000000,DFlash,VecWrite,1024,30,8322.00,  0.00,7198.00,  0.00,  6.00,  0.00,2057.00,  0.00,  0.00,  0.00
0,0,0,af000000,DFlash,VecWrite,2048,30,16644.66,488.92,14403.13,138.94, 14.00, 29.93,4110.67, 21.20,  0.00,  0.00
0,0,0,af000000,DFlash,VecWrite,4096,30,33157.21,660.83,28776.26,189.34, 21.93, 40.62,8212.47, 29.24,  0.00,  0.00
1,0,0,af000000,DFlash,VecWrite,256,30,2178.00,  0.00,1822.00,  0.00,  0.00,  0.00,  0.00,  0.00,516.00,  0.00
1,0,0,af000000,DFlash,VecWrite,512,30,4226.00,  0.00,3614.00,  0.00,  0.00,  0.00,  0.00,  0.00,1028.00,  0.00
1,0,0,af000000,DFlash,VecWrite,1024,30,8388.73,359.37,7216.63,100.34,  0.00,  0.00,  0.00,  0.00,2054.57, 13.82
1,0,0,af000000,DFlash,VecWrite,2048,30,16644.83,489.56,14403.20,139.19,  0.00,  0.00,  0.00,  0.00,4105.13, 19.21
1,0,0,af000000,DFlash,VecWrite,4096,30,33158.23,663.50,28776.33,189.51,  0.00,  0.00,  0.00,  0.00,8206.23, 26.09
2,0,0,af000000,DFlash,VecWrite,256,30,2178.00,  0.00,1822.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecWrite,512,30,4226.00,  0.00,3614.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecWrite,1024,30,8387.70,353.81,7216.57, 99.98,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecWrite,2048,30,16645.16,490.78,14403.13,138.94,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecWrite,4096,30,33158.52,664.25,28776.26,189.34,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
3,0,0,af000000,DFlash,VecWrite,256,30,2178.00,  0.00,1822.00,  0.00,264.00,  0.00,135.00,  0.00,237.00,  0.00
3,0,0,af000000,DFlash,VecWrite,512,30,4226.00,  0.00,3614.00,  0.00,520.00,  0.00,135.00,  0.00,493.00,  0.00
3,0,0,af000000,DFlash,VecWrite,1024,30,8387.70,353.81,7216.57, 99.98,1035.90, 21.00,183.60,261.72,1015.17, 54.75
3,0,0,af000000,DFlash,VecWrite,2048,30,16643.67,485.17,14403.13,138.94,2063.80, 29.18,230.73,358.20,2049.03, 74.96
3,0,0,af000000,DFlash,VecWrite,4096,30,33158.27,663.58,28776.33,189.51,4119.60, 39.77,327.67,491.23,4116.97,101.90
0,0,0,af000000,DFlash,VecPower,256,30,32654.93,587.80,3157.70,167.10,13841.87, 35.60,16397.60, 25.80,  0.00,  0.00
0,0,0,af000000,DFlash,VecPower,512,30,65177.67,838.71,6304.03,235.71,27681.77, 50.33,32792.43, 35.24,  0.00,  0.00
0,0,0,af000000,DFlash,VecPower,1024,30,129760.90,865.33,12467.90,244.45,55334.13, 52.16,65564.07, 36.55,  0.00,  0.00
0,0,0,af000000,DFlash,VecPower,2048,30,258688.50,801.37,24728.67,225.48,110625.00, 49.05,131096.60, 35.54,  0.00,  0.00
0,0,0,af000000,DFlash,VecPower,4096,30,516742.40,1194.84,49306.00,336.88,221217.10, 72.34,262168.50, 51.76,  0.00,  0.00
1,0,0,af000000,DFlash,VecPower,256,30,32657.73,596.21,3157.70,167.10,  0.00,  0.00,  0.00,  0.00,1035.47, 22.40
1,0,0,af000000,DFlash,VecPower,512,30,65174.73,833.41,6304.03,235.71,  0.00,  0.00,  0.00,  0.00,2069.40, 31.55
1,0,0,af000000,DFlash,VecPower,1024,30,129742.10,840.14,12462.57,237.57,  0.00,  0.00,  0.00,  0.00,4119.53, 31.82
1,0,0,af000000,DFlash,VecPower,2048,30,258654.30,782.96,24718.77,220.97,  0.00,  0.00,  0.00,  0.00,8211.20, 29.63
